date,city,latitude,longitude,uv_index
2020-01-02 12:00:00,Little Grove,-35.07,117.87,12.94
2020-01-02 12:00:00,Lower Chittering,-31.555999999999997,116.087,13.66
2020-01-02 12:00:00,Lower King,-34.9578,117.9383,13.06
2020-01-02 12:00:00,Mandurah,-32.5289,115.7231,13.0
2020-01-02 12:00:00,Manjimup,-34.2411,116.1464,12.78
2020-01-02 12:00:00,Margaret River,-33.955,115.075,12.5
2020-01-02 12:00:00,Merredin,-31.482,118.279,14.29
2020-01-02 12:00:00,Moora,-30.638,116.01,13.88
2020-01-02 12:00:00,Mount Barker,-34.63,117.6669,13.16
2020-01-02 12:00:00,Mundijong,-32.284,115.973,13.32
2020-01-02 12:00:00,Narrogin,-32.936,117.178,13.64
2020-01-02 12:00:00,Newman,-23.3539,119.7319,14.64
2020-01-02 12:00:00,Northam,-31.6531,116.6661,13.85
2020-01-02 12:00:00,Nullagine,-21.888,120.10700000000001,14.52
2020-01-02 12:00:00,Paraburdoo,-23.201,117.671,15.18
2020-01-02 12:00:00,Perth,-31.9522,115.8589,13.41
2020-01-02 12:00:00,Pinjarra,-32.63,115.8711,13.08
2020-01-02 12:00:00,Port Denison,-29.2833,114.9167,13.9
2020-01-02 12:00:00,Port Hedland,-20.31,118.6011,14.85
2020-01-02 12:00:00,Quindalup,-33.6671,115.1451,12.51
2020-01-02 12:00:00,Ravenswood,-32.5833,115.833,13.08
2020-01-02 12:00:00,Serpentine,-32.365,115.98100000000001,13.32
2020-01-02 12:00:00,Tom Price,-22.6939,117.795,15.36
2020-01-02 12:00:00,Toodyay,-31.55,116.45,13.81
2020-01-02 12:00:00,Two Rocks,-31.495,115.588,13.44
2020-01-02 12:00:00,Vasse,-33.69,115.3,12.82
2020-01-02 12:00:00,Wagin,-33.3167,117.35,13.49
2020-01-02 12:00:00,Waroona,-32.8667,115.9167,12.96
2020-01-02 12:00:00,Wickham,-20.675,117.1403,15.2
2020-01-02 12:00:00,Wooroloo,-31.803,116.314,13.78
2020-01-02 12:00:00,Wundowie,-31.7667,116.383,13.78
2020-01-02 12:00:00,Yallingup,-33.6397,115.0263,12.51
2020-01-02 12:00:00,Yanchep,-31.55,115.634,13.37
2020-01-02 12:00:00,York,-31.8883,116.7686,13.93
2020-01-02 12:00:00,Yunderup,-32.5833,115.8,13.08
