date,latitude,longitude,uv_index
2020-01-06 12:00:00,-20,124,16.57
2020-01-06 12:00:00,-20,128,15.94
2020-01-06 12:00:00,-16,112,14.36
2020-01-06 12:00:00,-16,116,14.16
2020-01-06 12:00:00,-16,120,14.48
2020-01-06 12:00:00,-16,124,15.32
2020-01-06 12:00:00,-16,128,14.98
2020-01-06 12:00:00,-12,112,14.44
2020-01-06 12:00:00,-12,116,14.54
2020-01-06 12:00:00,-12,120,14.59
2020-01-06 12:00:00,-12,124,14.33
2020-01-06 12:00:00,-12,128,14.65
2020-01-07 12:00:00,-36,112,12.29
2020-01-07 12:00:00,-36,116,13.01
2020-01-07 12:00:00,-36,120,13.72
2020-01-07 12:00:00,-36,124,13.21
2020-01-07 12:00:00,-36,128,13.18
2020-01-07 12:00:00,-32,112,13.4
2020-01-07 12:00:00,-32,116,14.1
2020-01-07 12:00:00,-32,120,13.92
2020-01-07 12:00:00,-32,124,13.73
2020-01-07 12:00:00,-32,128,13.26
2020-01-07 12:00:00,-28,112,14.93
2020-01-07 12:00:00,-28,116,15.43
2020-01-07 12:00:00,-28,120,15.01
2020-01-07 12:00:00,-28,124,14.3
2020-01-07 12:00:00,-28,128,15.79
2020-01-07 12:00:00,-24,112,15.51
2020-01-07 12:00:00,-24,116,15.1
2020-01-07 12:00:00,-24,120,16.06
2020-01-07 12:00:00,-24,124,16.91
2020-01-07 12:00:00,-24,128,15.42
2020-01-07 12:00:00,-20,112,15.0
2020-01-07 12:00:00,-20,116,14.16
2020-01-07 12:00:00,-20,120,15.68
2020-01-07 12:00:00,-20,124,17.09
2020-01-07 12:00:00,-20,128,16.09
2020-01-07 12:00:00,-16,112,13.88
2020-01-07 12:00:00,-16,116,14.14
2020-01-07 12:00:00,-16,120,14.31
2020-01-07 12:00:00,-16,124,15.07
2020-01-07 12:00:00,-16,128,15.08
2020-01-07 12:00:00,-12,112,14.19
2020-01-07 12:00:00,-12,116,13.95
2020-01-07 12:00:00,-12,120,14.57
2020-01-07 12:00:00,-12,124,14.71
2020-01-07 12:00:00,-12,128,15.29
2020-01-08 12:00:00,-36,112,11.36
2020-01-08 12:00:00,-36,116,11.63
2020-01-08 12:00:00,-36,120,12.62
2020-01-08 12:00:00,-36,124,13.37
2020-01-08 12:00:00,-36,128,13.65
2020-01-08 12:00:00,-32,112,13.01
2020-01-08 12:00:00,-32,116,14.22
2020-01-08 12:00:00,-32,120,15.0
2020-01-08 12:00:00,-32,124,14.49
2020-01-08 12:00:00,-32,128,14.25
2020-01-08 12:00:00,-28,112,14.56
2020-01-08 12:00:00,-28,116,15.14
2020-01-08 12:00:00,-28,120,15.71
2020-01-08 12:00:00,-28,124,15.94
2020-01-08 12:00:00,-28,128,16.26
2020-01-08 12:00:00,-24,112,15.16
2020-01-08 12:00:00,-24,116,14.63
2020-01-08 12:00:00,-24,120,15.31
2020-01-08 12:00:00,-24,124,16.11
2020-01-08 12:00:00,-24,128,16.53
2020-01-08 12:00:00,-20,112,14.54
2020-01-08 12:00:00,-20,116,14.44
2020-01-08 12:00:00,-20,120,16.02
2020-01-08 12:00:00,-20,124,15.51
2020-01-08 12:00:00,-20,128,15.67
2020-01-08 12:00:00,-16,112,13.84
2020-01-08 12:00:00,-16,116,14.6
2020-01-08 12:00:00,-16,120,15.0
2020-01-08 12:00:00,-16,124,15.44
2020-01-08 12:00:00,-16,128,15.9
2020-01-08 12:00:00,-12,112,14.99
2020-01-08 12:00:00,-12,116,14.51
2020-01-08 12:00:00,-12,120,14.33
2020-01-08 12:00:00,-12,124,14.22
2020-01-08 12:00:00,-12,128,14.37
2020-01-09 12:00:00,-36,112,11.69
2020-01-09 12:00:00,-36,116,11.59
2020-01-09 12:00:00,-36,120,12.24
2020-01-09 12:00:00,-36,124,12.95
2020-01-09 12:00:00,-36,128,13.58
2020-01-09 12:00:00,-32,112,13.02
2020-01-09 12:00:00,-32,116,13.89
2020-01-09 12:00:00,-32,120,14.67
2020-01-09 12:00:00,-32,124,14.86
2020-01-09 12:00:00,-32,128,15.12
2020-01-09 12:00:00,-28,112,15.04
2020-01-09 12:00:00,-28,116,15.33
2020-01-09 12:00:00,-28,120,15.8
2020-01-09 12:00:00,-28,124,15.98
2020-01-09 12:00:00,-28,128,15.64
2020-01-09 12:00:00,-24,112,15.22
2020-01-09 12:00:00,-24,116,15.57
2020-01-09 12:00:00,-24,120,17.11
2020-01-09 12:00:00,-24,124,15.66
2020-01-09 12:00:00,-24,128,15.08
2020-01-09 12:00:00,-20,112,14.48
2020-01-09 12:00:00,-20,116,14.73
2020-01-09 12:00:00,-20,120,15.86
2020-01-09 12:00:00,-20,124,16.49
2020-01-09 12:00:00,-20,128,15.8
2020-01-09 12:00:00,-16,112,14.79
2020-01-09 12:00:00,-16,116,14.98
2020-01-09 12:00:00,-16,120,15.77
2020-01-09 12:00:00,-16,124,14.86
2020-01-09 12:00:00,-16,128,14.03
2020-01-09 12:00:00,-12,112,14.39
2020-01-09 12:00:00,-12,116,14.7
2020-01-09 12:00:00,-12,120,14.53
2020-01-09 12:00:00,-12,124,14.25
2020-01-09 12:00:00,-12,128,14.04
2020-01-10 12:00:00,-36,112,12.8
