date,city,latitude,longitude,uv_index
2020-01-03 12:00:00,Drummond Cove,-28.673000000000002,114.613,11.58
2020-01-03 12:00:00,Dunsborough,-33.617,115.1,10.91
2020-01-03 12:00:00,Esperance,-33.861,121.892,12.03
2020-01-03 12:00:00,Exmouth,-21.933,114.128,14.72
2020-01-03 12:00:00,Fitzroy Crossing,-18.194,125.567,14.54
2020-01-03 12:00:00,Fremantle,-32.057,115.744,11.42
2020-01-03 12:00:00,Geraldton,-28.774,114.609,11.45
2020-01-03 12:00:00,Halls Creek,-18.23,127.67,15.03
2020-01-03 12:00:00,Harvey,-33.08,115.89,11.19
2020-01-03 12:00:00,Jarrahdale,-32.339,116.062,11.54
2020-01-03 12:00:00,Jurien Bay,-30.297,115.042,11.51
2020-01-03 12:00:00,Kalbarri,-27.71,114.16,11.9
2020-01-03 12:00:00,Kalgoorlie,-30.749,121.466,14.07
2020-01-03 12:00:00,Kambalda,-31.2,121.67,13.84
2020-01-03 12:00:00,Kambalda West,-31.211,121.713,13.84
2020-01-03 12:00:00,Karratha,-20.736,116.846,14.14
2020-01-03 12:00:00,Katanning,-33.691,117.555,11.24
2020-01-03 12:00:00,Kojonup,-33.84,117.15,11.06
2020-01-03 12:00:00,Kununurra,-15.774000000000001,128.739,14.89
2020-01-03 12:00:00,Kwinana,-32.239,115.77,11.45
2020-01-03 12:00:00,Leschenault,-33.245,115.735,11.17
2020-01-03 12:00:00,Lesmurdie,-31.994,116.05,11.66
2020-01-03 12:00:00,Little Grove,-35.07,117.87,10.53
2020-01-03 12:00:00,Lower Chittering,-31.556,116.087,11.7
2020-01-03 12:00:00,Lower King,-34.958,117.938,10.63
2020-01-03 12:00:00,Mandurah,-32.529,115.723,11.32
2020-01-03 12:00:00,Manjimup,-34.241,116.146,10.81
2020-01-03 12:00:00,Margaret River,-33.955,115.075,10.85
2020-01-03 12:00:00,Merredin,-31.482,118.279,12.6
2020-01-03 12:00:00,Moora,-30.638,116.01,11.93
2020-01-03 12:00:00,Mount Barker,-34.63,117.667,10.76
2020-01-03 12:00:00,Mundijong,-32.284,115.973,11.5
2020-01-03 12:00:00,Narrogin,-32.936,117.178,11.61
2020-01-03 12:00:00,Newman,-23.354,119.732,15.65
2020-01-03 12:00:00,Northam,-31.653,116.666,11.83
2020-01-03 12:00:00,Nullagine,-21.888,120.107,15.63
2020-01-03 12:00:00,Paraburdoo,-23.201,117.671,15.23
2020-01-03 12:00:00,Perth,-31.952,115.859,11.51
2020-01-03 12:00:00,Pinjarra,-32.63,115.871,11.34
2020-01-03 12:00:00,Port Denison,-29.283,114.917,11.57
2020-01-03 12:00:00,Port Hedland,-20.31,118.601,13.97
