date,latitude,longitude,uv-index,max-temperature
2021-01-17 03:00:00,-24,128,15.0,32.47
2021-01-18 03:00:00,-24,128,15.0,37.38
2021-01-19 03:00:00,-24,128,15.0,38.3
2021-01-12 04:00:00,-20,112,14.57,27.99
2021-01-13 04:00:00,-20,112,15.5,27.5
2021-01-14 04:00:00,-20,112,15.44,27.87
2021-01-15 04:00:00,-20,112,15.45,28.51
2021-01-16 04:00:00,-20,112,15.36,29.41
2021-01-17 04:00:00,-20,112,16.0,29.51
2021-01-18 04:00:00,-20,112,16.0,29.69
2021-01-19 04:00:00,-20,112,16.0,30.16
2021-01-12 04:00:00,-20,116,15.64,30.52
2021-01-13 04:00:00,-20,116,14.62,30.44
2021-01-14 04:00:00,-20,116,15.63,30.07
2021-01-15 04:00:00,-20,116,15.55,30.41
2021-01-16 04:00:00,-20,116,15.58,29.64
2021-01-17 04:00:00,-20,116,16.0,30.4
2021-01-18 04:00:00,-20,116,16.0,32.57
2021-01-19 04:00:00,-20,116,16.0,32.86
2021-01-12 04:00:00,-20,120,15.51,34.85
2021-01-13 04:00:00,-20,120,15.63,36.24
2021-01-14 04:00:00,-20,120,15.86,33.93
2021-01-15 04:00:00,-20,120,15.42,34.2
2021-01-16 04:00:00,-20,120,15.73,36.94
2021-01-17 04:00:00,-20,120,16.0,39.45
2021-01-18 04:00:00,-20,120,16.0,39.02
2021-01-19 04:00:00,-20,120,16.0,40.71
2021-01-12 03:00:00,-20,124,15.16,41.52
2021-01-13 03:00:00,-20,124,15.27,42.69
2021-01-14 03:00:00,-20,124,14.63,42.3
2021-01-15 03:00:00,-20,124,14.63,41.43
2021-01-16 03:00:00,-20,124,15.43,43.06
2021-01-17 03:00:00,-20,124,16.0,41.93
2021-01-18 03:00:00,-20,124,16.0,41.44
2021-01-19 03:00:00,-20,124,16.0,42.49
2021-01-12 03:00:00,-20,128,14.78,40.53
2021-01-13 03:00:00,-20,128,14.97,41.44
2021-01-14 03:00:00,-20,128,12.72,40.64
2021-01-15 03:00:00,-20,128,14.94,41.75
2021-01-16 03:00:00,-20,128,14.76,42.01
2021-01-17 03:00:00,-20,128,15.0,40.95
2021-01-18 03:00:00,-20,128,15.0,41.81
2021-01-19 03:00:00,-20,128,15.0,40.87
2021-01-12 04:00:00,-16,112,15.35,29.33
2021-01-13 04:00:00,-16,112,15.35,29.48
2021-01-14 04:00:00,-16,112,15.8,29.12
2021-01-15 04:00:00,-16,112,15.32,28.7
2021-01-16 04:00:00,-16,112,15.54,28.54
2021-01-17 04:00:00,-16,112,16.0,29.17
2021-01-18 04:00:00,-16,112,16.0,29.48
2021-01-19 04:00:00,-16,112,16.0,29.83
2021-01-12 04:00:00,-16,116,15.21,30.52
2021-01-13 04:00:00,-16,116,15.75,30.16
2021-01-14 04:00:00,-16,116,15.92,30.18
2021-01-15 04:00:00,-16,116,15.48,29.78
2021-01-16 04:00:00,-16,116,15.78,30.14
